,storeid,createtime
96,1182028035,1671866240201
97,1183404842,1673232866762
98,1183529957,1672361635487
99,1189810643,1670990410394
100,1190254012,1672734008377
101,1190254012,1673079180094
102,1195742521,1672468727786
103,1200554202,1673506223991
104,1201376479,1671946750939
105,1201376479,1671946762470
106,1206406305,1671787133694
107,120765904,1671154157993
108,1211071025,1672798532868
109,1213967842,1672819085861
110,121688286,1671778236047
111,1217110515,1673330988263
112,1217110515,1673859278002
113,1217370124,1671870777003
114,1219930023,1673163923085
115,1231198924,1672288256375
116,1234344528,1672035664409
117,123685102,1672643586493
118,1237345052,1671673048989
119,1238157605,1672992122988
120,1241045715,1670900601010
121,1241045715,1673767181902
122,1243129832,1671869500514
123,1243752149,1671002050156
124,1247916605,1672646095883
125,1248355766,1671005202645
126,1248355766,1673145493717
127,1249034646,1672363922492
128,1249034646,1673491144762
129,1253575608,1672817871310
130,1253822748,1671588325709
131,1261492654,1671244370820
132,1263254966,1671776797014
133,1265506805,1672638297787
134,126843805,1671679942825
135,1268654973,1671669252949
136,1275867469,1672219708364
137,1276053057,1671763214372
138,1278228012,1671509898635
139,1279665232,1672464840218
140,1281647042,1672806494890
141,1283503849,1672817330712
142,1284131643,1673848824934
143,128923805,1671844385963
144,1292165173,1673256150716
145,1293143756,1671930725923
146,1298568293,1670989463613
147,1299493207,1671326498845
148,1299670878,1671332826014
149,1299670878,1672969351401
150,1299670878,1672969049160
151,1302722757,1671006344995
152,1302722757,1671874497183
153,1302722757,1673259530160
154,1316566807,1672810373611
155,1317884823,1670981522359
156,1319781529,1670988623266
157,1319877625,1673059890298
158,132143662,1671077915858
159,132143662,1671077934053
160,1321933899,1670987913600
161,1322777282,1672390255271
162,1322934482,1671332312754
163,1322934482,1671331684564
164,1324463968,1671156699936
165,1325238372,1671248011733
166,1325238372,1672974550763
167,1327446645,1670991064283
168,1334475597,1673078199418
169,1334477336,1673835714322
170,1335227627,1670908494701
171,1337851665,1671587247622
172,1341230985,1671847169041
173,1342431242,1671766901203
174,1347545028,1670999067631
175,1347962123,1670914135728
176,1348128297,1670896236162
177,1349645877492453376,1672298204047
178,1349645896601702400,1671674369735
179,1349645896601702400,1672798894524
180,1349645896601702400,1672798880206
181,1349645927694077952,1670984413721
182,1349645938632822784,1671864582752
183,1349645967649017856,1670911471327
184,1349645979409846272,1672558694653
185,1349645985315426304,1672040294963
186,1349646009562697728,1671256816185
187,1349646009562697728,1671679186351
188,1349646015724130304,1671159889864
189,1349646015724130304,1672813456734
190,1349646246222106624,1673324887486
191,1349646447527727104,1673492153756
192,1349646524912635904,1673524678952
193,1349646542042173440,1672037121931
194,1352387278,1673246186757
195,135606811,1671680743719
196,135606811,1671680585376
197,135606811,1672280554483
198,135606811,1672280286888
199,135606811,1673853313256
200,135606811,1673853066443
201,135651107,1671151521976
202,135651107,1673234073466
203,1358489776,1671504884925
204,1363067066,1671523608265
205,1363067066,1671523598266
206,1364452721922543616,1670903904719
207,1364452732831928320,1671000189604
208,1364452732831928320,1673859544190
209,1364452783838859264,1673084108185
210,1364452788280627200,1671509997305
211,1364452788280627200,1672818126403
212,1364452802230882304,1672828534250
213,1364462914421002240,1672039328226
214,1364462936524984320,1673074548028
215,1364465032531939328,1672277700364
216,1364465032531939328,1673141732995
217,1364473611649421312,1672046779668
218,1364473611649421312,1672037680552
219,1364477930171928576,1671006708541
220,1364477930171928576,1671522782830
221,1364477930171928576,1672902928205
222,1364477932424269824,1673502159599
223,1364941204487278592,1670919718548
224,1364941334380679168,1671867561644
225,1364948816813494272,1672562405523
226,1364949452644814848,1670999616663
227,1364949452644814848,1670999667124
228,1364949497871994880,1673148896856
229,1364949499658768384,1671174949292
230,1364949499658768384,1672211389115
231,1364949499658768384,1672538553921
232,1364949499658768384,1673504983626
233,1364949499658768384,1674030029889
234,1364949544571375616,1672037235688
235,1364949976622436352,1672639747824
236,1364949986923646976,1672373704819
237,1364949986923646976,1672807427990
238,1365226169779228672,1671245779103
239,1365226852670640128,1672797661431
240,1365226853824073728,1672808630929
241,1365231000820518912,1672626854329
242,1365231007816617984,1670891255796
243,1365231007816617984,1670893177275
244,1365231008370266112,1670999073345
245,1365231008370266112,1672888907922
246,1365231023247462400,1671949097195
247,1365231039181623296,1672977723106
248,1365231042528677888,1671856707095
249,1365231318111227904,1673232137639
250,1365232203314892800,1671174078056
251,1365232203314892800,1671174027913
252,1365232203314892800,1671174055899
253,1365232203314892800,1671775263539
254,1365232203314892800,1671775296853
255,1365232203314892800,1673777100866
256,1365232264467845120,1673140105441
257,1365232296772374528,1672907714764
258,1365238228101238784,1671673994940
259,1365238368174215168,1673231393357
260,1365238390559215616,1671856197922
261,1365238740754239488,1671515575861
262,1365238740754239488,1671515593541
263,1365238858224111616,1670979739282
264,1365238963991875584,1672543222877
265,1365238981914136576,1671757952518
266,1365239035563479040,1670894991059
267,1365239035563479040,1672967362212
268,1365239121538322432,1673509788963
269,1365239121538322432,1673509819963
270,1365239127288713216,1672364632606
271,1365239127288713216,1673137720798
272,1365239585596116992,1671345706277
273,1365239609277157376,1673149767792
274,1365239710452158464,1673081149386
275,1365239748679045120,1671160361741
276,1365239825627746304,1671331238069
277,1365239825627746304,1671331115896
278,1365239825627746304,1671331219069
279,1365239825627746304,1673342917508
280,1365240012303634432,1673074330652
281,1365240238359842816,1670910890867
282,1365240238359842816,1671782142676
283,1365240244047319040,1671242671690
284,1365240244047319040,1671243032164
285,1365240244047319040,1671242852729
286,1365240296463536128,1671166909161
287,1365240296463536128,1671594460757
288,1365241068722982912,1671329077348
289,1365241068722982912,1671329499117
290,1365241901975998464,1672627657307
291,1365245334149795840,1673485365377
292,1365245421399707648,1673149695766
293,1365245443314946048,1670894819289
294,1365245443314946048,1670895142515
295,1365245443314946048,1673517804006
296,1365245447379226624,1672027382087
297,1365245597518532608,1672636588012
298,1365245838032506880,1671503926796
299,1365245847343861760,1671240750088
300,1365245847343861760,1671680764945
301,1365245856206426112,1670978544455
302,1365245860287483904,1671005417911
303,1365245892306800640,1671171659387
304,1365245892306800640,1671171702369
305,1365245973290422272,1672469519135
306,1365492662215512064,1673173896025
307,1365940328728760320,1673514510225
308,1365940445485600768,1671692281791
309,1365940445485600768,1674023641716
310,1365940568340959232,1673330201138
311,1365940569452449792,1673230639607
312,1365940682635743232,1671508213395
313,1365940682635743232,1671508234601
